"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.211754583E-1,-1.936086777E0,-8.269377959E-1,2.502411248E0,3.270217146E0
6.311354583E-1,9.471904635E-2,-1.330044510E0,1.941758577E0,2.355507687E0
6.410954583E-1,-2.096460700E-1,-1.057907492E0,2.336673675E0,2.573550776E0
6.510554583E-1,-4.900282466E-1,-1.570800691E0,2.491430762E0,2.985761165E0
6.610154583E-1,-2.508546147E-1,-1.330873645E0,2.088517842E0,2.489188517E0
6.709744583E-1,-1.456748995E-1,-9.388499951E-1,2.369195888E0,2.552596648E0
6.809344583E-1,4.063814878E-4,-1.041082714E0,3.275687392E0,3.437147258E0
6.908944583E-1,5.253945458E-1,-7.224767035E-1,3.808556433E0,3.911919493E0
7.008544583E-1,5.649003813E-1,-7.057565904E-1,2.843799180E0,2.984023891E0
7.108134583E-1,3.628814194E-1,-1.172548002E-1,1.039945430E0,1.107663356E0
7.207734583E-1,2.044706994E-1,7.198483801E-1,-8.975639749E-1,1.168593619E0
7.307334583E-1,6.501893306E-1,6.553015512E-1,-1.849207385E0,2.066817419E0
7.406934583E-1,1.053760939E0,2.530376726E-1,-1.421420995E0,1.787422117E0
7.506534583E-1,1.175508740E0,5.304079485E-1,-3.540173328E-1,1.337341266E0
7.606124583E-1,1.618392348E0,1.439834754E0,6.220197845E-1,2.253713940E0
7.705724583E-1,2.345437481E0,2.093057621E0,1.206253107E0,3.367048224E0
7.805324583E-1,3.004530367E0,2.182223566E0,1.045555249E0,3.857782809E0
7.904924583E-1,3.041330988E0,1.265525163E0,3.612357205E-1,3.313870753E0
8.004524583E-1,1.674136194E0,6.862181193E-1,-9.678135931E-2,1.811903401E0
8.104114583E-1,6.091059163E-1,8.406296360E-1,3.513708830E-1,1.095960629E0
8.203714583E-1,9.454047239E-1,1.948935449E-1,9.406053293E-1,1.347780387E0
8.303314583E-1,1.229123906E0,-7.748028517E-1,1.533576731E0,2.112563047E0
8.402914583E-1,8.127325702E-1,-1.161508459E0,2.082799850E0,2.519462511E0
8.502514583E-1,-5.917674601E-2,-7.625845098E-1,1.940611353E0,2.085907343E0
8.602104583E-1,-8.928976044E-1,1.262472332E-2,1.258247718E0,1.542923471E0
8.701704583E-1,-1.594504133E0,4.065042794E-1,3.626163066E0,3.982053207E0
8.801304583E-1,-1.203147359E0,1.612205994E-1,4.326846612E0,4.493902230E0
8.900904583E-1,-1.091478111E0,-1.212759304E-1,1.969353926E0,2.254858578E0
9.000494583E-1,-3.571336064E-1,1.583496165E-1,1.500740522E0,1.550755019E0
9.100094583E-1,-7.569776148E-2,4.055476749E-1,5.089048129E-1,6.551207342E-1
9.199694583E-1,-6.320430815E-2,5.937677926E-1,-3.484355807E-3,5.971324115E-1
9.299294583E-1,1.119151229E-1,8.248877621E-1,-7.586762309E-2,8.358951555E-1
9.398894583E-1,1.006591743E0,1.091382217E0,-1.987632322E-1,1.497948231E0
9.498484583E-1,1.976267674E0,1.721673473E0,-3.930206001E-1,2.650331801E0
9.598084583E-1,2.144694382E0,3.127881474E0,-4.909281331E-1,3.824181866E0
9.697684583E-1,2.048541891E0,3.186260660E0,5.150861970E-1,3.822838561E0
9.797284583E-1,8.643696240E-1,1.659583644E0,4.837942377E-1,1.932720772E0
9.896884583E-1,1.012386918E-1,7.719312841E-1,-4.286301434E-3,7.785535000E-1
9.996474583E-1,-5.211801651E-1,-3.799988508E-2,3.341645738E-1,6.202730997E-1
