time,X,Y,Z
10.00330808, 3.704039208, 1.965147439, -1.832685785
10.01326808, 2.412931015, 0.449402377, -1.619912478
10.02322808, 0.9750351968, -1.102335806, -1.417748652
10.03318808, -0.2754120433, -2.285957265, -1.284950198
10.04314808, -1.101092688, -2.983170488, -1.129705453
10.05310808, -1.400552867, -3.006786808, -1.109644825
10.06306708, -1.207091013, -2.134868721, -1.649622327
10.07302708, -1.393669817, -0.6354350513, -1.94204509
10.08298708, -2.567853286, 1.090939583, -2.158917149
10.09294708, -3.781002891, 3.061948856, -1.7562197
10.10290708, -3.870423191, 5.308290065, -1.084531911
10.11286608, -3.31663135, 7.62091765, -0.6853381133
10.12282608, -1.11930121, 9.402770666, 1.627912492
10.13278608, 2.140975553, 8.670307503, 5.060137156
10.14274608, 1.632216336, 4.872716353, 3.47838697
10.15270608, -3.437191289, -0.1681249917, 2.238731935
10.16266608, -7.728778898, -3.827393239, 2.024125965
10.17262508, -9.342569488, -5.346106347, -2.164015921
10.18258508, -8.21032225, -5.196454464, -1.357122381
10.19254508, -6.060606279, -4.83037608, 2.804456189
10.20250508, -4.115288795, -4.192360652, 5.228036445
10.21246508, -2.928458969, -2.332382988, 6.452229395
10.22242408, -1.967584266, 0.2741051906, 6.273388796
10.23238408, -0.8250242946, 2.75179675, 5.663859833
10.24234408, 0.4299472287, 4.616840442, 4.838882024
10.25230408, 1.355835116, 5.736387527, 3.533958907
10.26226408, 1.954492351, 5.707012285, 2.007198422
10.27222408, 2.832281334, 3.922809858, 0.4824117366
10.28218308, 2.907667732, 1.452206293, -0.6749989935
10.29214308, 2.007435818, -0.1478012395, -0.7914685857
10.30210358, 0.234621136, -0.7846694434, -0.4757785821
10.31206358, -1.043915982, -1.167696567, -0.01186517
10.32202358, -1.660223329, -1.651760654, 0.7257213235
10.33198258, -2.172230967, -2.068318636, 1.406419086
10.34194258, -2.400426452, -2.257482494, 1.782649992
10.35190258, -2.095694861, -2.228738751, 2.141598866
10.36186258, -1.969688825, -1.878694602, 2.252384892
